organCd,사용기관명,지역,주소,홈페이지 주소,전화번호,검색 키워드,대표 강좌 이름,위도,경도
6zeQSI7tMlL5h7SNdQvJoQ==,더가꾸다필라테스사우점평생교육원,경기도 김포시,(10108) 경기도 김포시 돌문로 49 3층 지도보기,https://naver.me/Gd6lS4Q4,010 - 9783 - 0098,"김포필라테스 , 김포운동 , 사우동필라테스",1대1 개인레슨 | 6대1 그룹레슨,37.6193170,126.7174575
X1Ow39IK8M7fjIBs5ETmqQ==,경기도교육청등록평생교육시설브라이트학교,경기도 안산시,(15445) 경기도 안산시 단원구 초지로 124 501호,www.brighteched.com,0507 - 1419 - 7371,"인공지능 , 정보기술개발 , 컴퓨터로봇공학",컴퓨터활용 쇼셜클럽 | 기초수학과 인공지능 | 인공지능 사물인터넷,37.3097566,126.8153671
6gZgNjVhR1kh+OgDtKjMWQ==,그린요리학원,경상북도 문경시,(36968) 경상북도 문경시 신흥로 185 그린요리학원,,010 - 9391 - 3536,"그린요리학원 , 한식조리기능사 , 양식조리기능사",,36.5974604,128.2033678
I3ADUlybWsEkJliYysHf+w==,코어나인필라테스평생교육원,경기도 부천시,"(14544) 경기도 부천시 원미구 상동로 87 가나베스트 타운 7층, 703호",,032 - 324 - 9301,필라테스,,37.5052289,126.7524429
6Jp/5urtlsqMSvMiy0EpOw==,새움원격평생교육원,경기도 파주시,(10904) 경기도 파주시 교하로425번길 17-27 주식회사 새움아트,https://www.swec.kr/,010 - 6855 - 1254,"노인미술 , 아동미술 , 미술교육",색채실미상담사 1급 | 퍼스널컬러,37.7058799,126.7330339
/awKum+GwtzU9T+jMIE2Fw==,동아자동차운전전문학원,전북특별자치도 전주시,(54846) 전북특별자치도 전주시 덕진구 추천로 209 동아자동차운전전문학원,https://063donga.com/,063 - 2111 - 1100,"운전면허 , 자동차운전학원 , 전주자동차운전학원",,35.8547811,127.1122611
FC91OwEpJNQ4QrYWnE/OYg==,본어게인평생교육원,서울특별시 성북구,(02842) 서울특별시 성북구 고려대로27길 18 2층 본어게인,blog.naver.com/bornagain_pilayoga,010 - 2579 - 8868,"안암역필라테스 , 안암역요가 , 고려대학교",,37.5871000,127.0299030
G8k0rDnNQJKeVFOBF29N3Q==,마이에듀원격평생교육원,서울특별시 금천구,(08507) 서울특별시 금천구 가산디지털1로 142 1113-1114호,baeoomup.co.kr,02 - 517 - 2845,,,37.4784047,126.8833586
NgwBomvgspuwMGo2g1bkig==,로아필라테스동탄목동점평생교육원,경기도 화성시,(18484) 경기도 화성시 동탄순환대로18길 16 203호~206호,https://blog.naver.com/willowplan,010 - 9786 - 2046,"필라테스운동 , 요가헬스 , 동탄2필라테스",,37.1831044,127.1243017
9Hy5QL92G8RtJUYnLM87Hw==,경기조은평생교육원,경기도 용인시,(16865) 경기도 용인시 수지구 용구대로2771번길 66 상가동 204호,jja.pulip.kr,031 - 717 - 6778,,토탈공예(입문반) | 천연화장품(연구반) | 가죽공예(심화반) | 가죽공예(입문반) | 천연화장품(사범반) | 천연비누(중급반) | 천연화장품(중급반) | 천연비누(사범반) | 천연비누(사범반) | 천연화장품(중급반),37.3355311,127.1053997
y9Ol+8yXjB1vwC8oKnoPiw==,제주MBC아카데미뷰티학원,제주특별자치도 제주시,(63277) 제주특별자치도 제주시 중앙로 53 10층,,010 - 2777 - 8698,,,33.5135204,126.5249239
oDZgaHShKWLS7ElkjV+Z8Q==,삼육이와스외국어학원,경기도 구리시,(11945) 경기도 구리시 검배로 126 2층,www.sdaebs.com,010 - 9935 - 3605,"외국어 , 기초영어 , 한국어",,37.5939739,127.1517759
z/81XblEpauOWjVr5uwW3g==,인천논현풀잎평생교육원,인천광역시 남동구,(21653) 인천광역시 남동구 논고개로123번길 35 칼리오페 A동 7층 704-2호,http://cafe.naver.com/naraecenter,032 - 441 - 5579,"라탄공예 , 커스텀버블 , 스칸디아모스",홈패션,37.4015154,126.7220901
FgxC4jgzrdfcmE49w9IdNw==,리오베평생교육원,서울특별시 서초구,(06542) 서울특별시 서초구 사평대로55길 29 2층 Riobee,,010 - 5475 - 0478,"꽃 , 플라워 , 플로리스트",,37.5052437,127.0221831
NvN8lF/wI3IVfc6WP1obMQ==,크라우드웍스원격평생교육원,서울특별시 강남구,(06151) 서울특별시 강남구 테헤란로 309 5층,https://academy.crowdworks.kr/,02 - 6958 - 7010,"크라우드웍스아카데미 , 데이터라벨링부업알바 , 온라인AI취업자격증",돈의 미래 : 스테이블코인 완전 정복 | 경제적 자유의 시작 데이터 라벨링 스킬 강화 패키지 | 데이터 분석에서 콘텐츠 제작까지 똑똑한 AI 마케터 과정 | 망한 블로그도 살리는 블로그 수익화 공략법 | AI 시대 데이터 프로젝트 매니저로 사는 법 : AIDPM,37.5035623,127.0444577
tlTo3ysmccBPxJAYZKC1ig==,마인드맵평생교육원,강원특별자치도 동해시,(25792) 강원특별자치도 동해시 갯목길 6 마인드맵평생교육원,,010 - 5375 - 4462,"지역리더 , 행복",,37.4843835,129.1266887
GmDXo4kbG9pvMJcH3XhAig==,광명건축기능사학원가람,경기도 광명시,(14216) 경기도 광명시 광삼로 59 3층 2호,https://blog.naver.com/garam_2022,010 - 3364 - 6872,"건축도장 , 방수 , 광명건축기능사학원",,37.4780790,126.8630104
MjtAv5jlHnY7j4yGHarb9Q==,늘푸른나무복지관,서울특별시 강서구,(07524) 서울특별시 강서구 허준로5길 37 늘푸른나무복지관,http://www.egreen.or.kr/,02 - 3661 - 3401,"발달장애 , 지적장애 , 자폐성장애",숲체험 | 줌바댄스 | 스마트폰 영상편집 | 지역주민 평생교육 (요리) | 지역주민 평생교육 (공예) | 컵타 | 오조봇 | 수박도 | 아이클레이 | 아이패드 드로잉,37.5685401,126.8510733
uxzYOeIIGGZ6z0VJCdeLjA==,메이저필라테스평생교육원,서울특별시 관악구,(08759) 서울특별시 관악구 남부순환로 1597 4층,https://blog.naver.com/majorpilates,010 - 6252 - 6611,"신림필라테스 , 신림역필라테스 , 자이로토닉",,37.4842940,126.9278958
MFpyYK19HLIxNJ/nIZxNWg==,한솔요리커피바리스타제과제빵학원(수원점),경기도 수원시,"(16455) 경기도 수원시 팔달구 덕영대로 899 2층 212, 213호 4층 412~415호 (매산로1가, 세진브론즈빌)",https://www.sw-hscook.com,031 - 307 - 2500,"요리 , 베이킹 , 커피",원데이_베이킹클래스 | 원데이_베이킹클래스 | 원데이_쿠킹클래스 | 한식요리초급과정,37.2681505,127.0003154
