사용기관명,지역,주소,홈페이지 주소,전화번호,검색 키워드,대표 강좌 이름,위도,경도
센텀디지털캠프평생교육원,부산광역시 해운대구,(48060) 부산광역시 해운대구 센텀2로 20 13층 1302호,http://blog.naver.com/edcc3080,010 - 6764 - 1500,"AI , 전자책 , ChatGPT",전자출판물 제작 | 1:1 맞춤수업 (원장외) | 컴퓨터활용능력 자격증 | 인공지능과 함께하는 영상제작 | 사진기능사 자격증 | ITQ 자격증 | 스마트폰과 랩탑 | ChatGPT 기초 및 활용 | 1:1 맞춤수업 | 생성형 AI와 함께하는 생활밀착형 강의 (스마트폰 PC 등),35.1671978,129.1320258
SBS아카데미컴퓨터아트학원(부평),인천광역시 부평구,(21394) 인천광역시 부평구 시장로 7 14층 SBS아카데미컴퓨터아트학원,sbsart.com,032 - 437 - 0111,"영상 , 포토샵 , 컴활",,37.4922000,126.7240198
삼척커피문화원바리스타학원,강원특별자치도 삼척시,(25921) 강원특별자치도 삼척시 진주로 47 얼큰이 2층,,033 - 574 - 6222,,,37.4449957,129.1636580
분당예술공예평생교육원,경기도 성남시,(13589) 경기도 성남시 분당구 중앙공원로40번길 42 에이동201호,,010 - 9729 - 8889,"분당가죽공방 , 코드공예공방 , 분당평생교육원",,37.3782726,127.1325543
향교앞공예학원,전북특별자치도 순창군,(56047) 전북특별자치도 순창군 순창읍 교성로 70 1층,craft1502@naver.com,010 - 3191 - 1502,"핸드페인팅도자기 , 글라스페인팅 , 도자기공예",,35.3696930,127.1379964
수현필라테스평생교육원,경기도 성남시,(13523) 경기도 성남시 분당구 판교로 442 2층 202호 지도보기,,0507 - 1487 - 1184,"필라테스 , 건강 , 운동",,37.4051478,127.1228918
(주)더흄심리상담평생교육원,경상남도 양산시,(50611) 경상남도 양산시 물금읍 범구로 17 유림프라자 602호,http://www.thehum.kr/,055 - 362 - 4424,,심리상담사 2급 | 색채심리상담사 2급 | 파워포인트  엑셀 | 아름다운마무리행복만들기 | 색채심리상담사 1급 | 진로상담 2급 | 3D 프린터 | 보드게임 | 3D 펜 아트펜 | 창의융합메이커교육,35.3278683,129.0137369
준발레스튜디오,경상남도 진주시,(52684) 경상남도 진주시 비봉로 30 2층 준발레스튜디오 지도보기,https://blog.naver.com/balletmaster,010 - 9788 - 0922,,여름학기 발레초급 | 발레초급 여름학기 | 발레스트레칭 여름학기 | 발레스트레칭 가을학기 | 성인발레 개인레슨 | 발레초급 | 발레초급 | 발레스트레칭,35.1934961,128.0811196
고양시대화노인종합복지관,경기도 고양시,(10382) 경기도 고양시 일산서구 일산로 778 고양시대화노인종합복지관,https://www.dh-seniorwelfarecenter.co.kr/,031 - 917 - 1352,,,37.6744752,126.7481578
글로벌평생교육원,인천광역시 남동구,(21591) 인천광역시 남동구 인주대로888번길 35 2층 210~215호,https://www.globaledu.co.kr/,010 - 5628 - 8862,웰빙건강지도사,,37.4465874,126.7351573
